date,product,daily_orders
2023-09-17,Product A,3105
2023-09-18,Product A,4397
2023-09-19,Product A,4472
2023-09-20,Product A,4969
2023-09-21,Product A,4489
2023-09-22,Product A,4069
2023-09-23,Product A,3501
2023-09-24,Product A,3450
2023-09-25,Product A,4678
2023-09-26,Product A,4220
2023-09-27,Product A,4403
2023-09-28,Product A,4624
2023-09-29,Product A,4142
2023-09-30,Product A,3384
2023-10-01,Product A,3205
2023-10-02,Product A,4197
2023-10-03,Product A,4507
2023-10-04,Product A,3743
2023-10-05,Product A,4086
2023-10-06,Product A,4200
2023-10-07,Product A,3076
2023-10-08,Product A,3308
2023-10-09,Product A,4052
2023-10-10,Product A,4386
2023-10-11,Product A,4461
2023-10-12,Product A,4583
2023-10-13,Product A,3921
2023-10-14,Product A,3448
2023-10-15,Product A,3040
2023-10-16,Product A,4125
2023-10-17,Product A,4561
2023-10-18,Product A,4452
2023-10-19,Product A,4126
2023-10-20,Product A,4218
2023-10-21,Product A,3181
2023-10-22,Product A,3043
2023-10-23,Product A,4465
2023-10-24,Product A,4796
2023-10-25,Product A,4123
2023-10-26,Product A,4695
2023-10-27,Product A,3785
2023-10-28,Product A,3213
2023-10-29,Product A,3110
2023-10-30,Product A,4377
2023-10-31,Product A,4302
2023-11-01,Product A,4348
2023-11-02,Product A,4137
2023-11-03,Product A,4072
2023-11-04,Product A,3377
2023-11-05,Product A,3079
2023-11-06,Product A,4173
2023-11-07,Product A,4648
2023-11-08,Product A,4470
2023-11-09,Product A,4425
2023-11-10,Product A,4340
2023-11-11,Product A,3115
2023-11-12,Product A,2950
2023-11-13,Product A,4502
2023-11-14,Product A,4603
2023-11-15,Product A,4418
2023-11-16,Product A,4299
2023-11-17,Product A,4500
2023-11-18,Product A,3172
2023-11-19,Product A,3137
2023-11-20,Product A,4323
2023-11-21,Product A,4448
2023-11-22,Product A,4699
2023-11-23,Product A,4483
2023-11-24,Product A,4436
2023-11-25,Product A,3510
2023-11-26,Product A,3083
2023-11-27,Product A,4556
2023-11-28,Product A,4467
2023-11-29,Product A,4569
2023-11-30,Product A,4319
2023-12-01,Product A,4326
2023-12-02,Product A,3428
2023-12-03,Product A,2985
2023-12-04,Product A,4920
2023-12-05,Product A,4358
2023-12-06,Product A,4272
2023-12-07,Product A,4653
2023-12-08,Product A,4530
2023-12-09,Product A,3475
2023-12-10,Product A,3250
2023-12-11,Product A,4508
2023-12-12,Product A,4440
2023-12-13,Product A,4626
2023-12-14,Product A,4307
2023-12-15,Product A,4633
2023-12-16,Product A,3393
2023-12-17,Product A,3065
2023-12-18,Product A,4503
2023-12-19,Product A,4815
2023-12-20,Product A,4546
2023-12-21,Product A,4340
2023-12-22,Product A,4541
2023-12-23,Product A,3514
2023-12-24,Product A,3165
2023-12-25,Product A,4540
2023-12-26,Product A,4850
2023-12-27,Product A,4410
2023-12-28,Product A,4277
2023-12-29,Product A,4397
2023-12-30,Product A,3492
2023-12-31,Product A,3354
2024-01-01,Product A,5079
2024-01-02,Product A,5086
2024-01-03,Product A,4799
2024-01-04,Product A,4677
2024-01-05,Product A,4409
2024-01-06,Product A,3589
2024-01-07,Product A,3313
2024-01-08,Product A,4893
2024-01-09,Product A,4760
2024-01-10,Product A,5053
2024-01-11,Product A,5132
2024-01-12,Product A,4701
2024-01-13,Product A,3732
2024-01-14,Product A,3542
2024-01-15,Product A,4806
2024-01-16,Product A,5114
2024-01-17,Product A,5020
2024-01-18,Product A,4880
2024-01-19,Product A,4629
2024-01-20,Product A,3732
2024-01-21,Product A,3575
2024-01-22,Product A,5359
2024-01-23,Product A,5400
2024-01-24,Product A,5662
2024-01-25,Product A,4758
2024-01-26,Product A,5120
2024-01-27,Product A,3832
2024-01-28,Product A,3943
2024-01-29,Product A,4884
2024-01-30,Product A,5029
2024-01-31,Product A,5051
2024-02-01,Product A,4505
2024-02-02,Product A,4866
2024-02-03,Product A,3721
2024-02-04,Product A,3647
2024-02-05,Product A,5273
2024-02-06,Product A,5847
2024-02-07,Product A,5555
2024-02-08,Product A,4984
2024-02-09,Product A,4860
2024-02-10,Product A,4035
2024-02-11,Product A,3441
2024-02-12,Product A,5760
2024-02-13,Product A,5762
2024-02-14,Product A,5270
2024-02-15,Product A,4775
2024-02-16,Product A,5528
2024-02-17,Product A,3984
2024-02-18,Product A,3980
2024-02-19,Product A,4940
2024-02-20,Product A,5368
2024-02-21,Product A,5490
2024-02-22,Product A,5323
2024-02-23,Product A,5145
2024-02-24,Product A,4199
2024-02-25,Product A,3606
2024-02-26,Product A,5416
2024-02-27,Product A,5657
2024-02-28,Product A,5719
2024-02-29,Product A,5586
2024-03-01,Product A,5045
2024-03-02,Product A,3818
2024-03-03,Product A,4115
2024-03-04,Product A,5629
2024-03-05,Product A,5493
2024-03-06,Product A,6096
2024-03-07,Product A,5503
2024-03-08,Product A,5741
2024-03-09,Product A,4208
2024-03-10,Product A,4325
2024-03-11,Product A,6105
2024-03-12,Product A,5711
2024-03-13,Product A,6011
2024-03-14,Product A,5722
2024-03-15,Product A,5867
2024-03-16,Product A,4042
2024-03-17,Product A,4106
2024-03-18,Product A,5982
2024-03-19,Product A,5338
2024-03-20,Product A,5457
2024-03-21,Product A,5036
2024-03-22,Product A,5479
2024-03-23,Product A,4448
2024-03-24,Product A,4315
2024-03-25,Product A,5763
2024-03-26,Product A,6395
2024-03-27,Product A,5455
2024-03-28,Product A,5181
2024-03-29,Product A,5592
2024-03-30,Product A,4418
2024-03-31,Product A,4044
2024-04-01,Product A,5194
2024-04-02,Product A,5939
2024-04-03,Product A,5523
2024-04-04,Product A,5901
2024-04-05,Product A,5756
2024-04-06,Product A,4163
2024-04-07,Product A,3976
2024-04-08,Product A,5526
2024-04-09,Product A,5988
2024-04-10,Product A,6233
2024-04-11,Product A,5464
2024-04-12,Product A,5831
2024-04-13,Product A,4278
2024-04-14,Product A,3941
2024-04-15,Product A,5835
2024-04-16,Product A,5725
2024-04-17,Product A,5812
2024-04-18,Product A,5428
2024-04-19,Product A,6273
2024-04-20,Product A,4420
2024-04-21,Product A,3975
2024-04-22,Product A,5951
2024-04-23,Product A,6024
2024-04-24,Product A,5929
2024-04-25,Product A,5967
2024-04-26,Product A,5943
2024-04-27,Product A,4304
2024-04-28,Product A,4009
2024-04-29,Product A,5816
2024-04-30,Product A,5368
2024-05-01,Product A,5547
2024-05-02,Product A,6190
2024-05-03,Product A,6201
2024-05-04,Product A,4368
2024-05-05,Product A,4247
2024-05-06,Product A,5988
2024-05-07,Product A,6997
2024-05-08,Product A,6333
2024-05-09,Product A,5751
2024-05-10,Product A,5449
2024-05-11,Product A,4061
2024-05-12,Product A,4162
2024-05-13,Product A,5661
2024-05-14,Product A,5618
2024-05-15,Product A,5788
2024-05-16,Product A,5459
2024-05-17,Product A,6185
2024-05-18,Product A,4595
2024-05-19,Product A,4103
2024-05-20,Product A,6294
2024-05-21,Product A,6046
2024-05-22,Product A,5698
2024-05-23,Product A,6181
2024-05-24,Product A,5828
2024-05-25,Product A,4150
2024-05-26,Product A,4043
2024-05-27,Product A,5571
2024-05-28,Product A,5573
2024-05-29,Product A,6191
2024-05-30,Product A,6251
2024-05-31,Product A,5242
2024-06-01,Product A,4469
2024-06-02,Product A,3920
2024-06-03,Product A,5641
2024-06-04,Product A,5764
2024-06-05,Product A,5616
2024-06-06,Product A,5673
2024-06-07,Product A,5356
2024-06-08,Product A,4367
2024-06-09,Product A,4006
2024-06-10,Product A,5660
2024-06-11,Product A,5617
2024-06-12,Product A,5645
2024-06-13,Product A,5814
2024-06-14,Product A,5670
2024-06-15,Product A,4055
2024-06-16,Product A,3993
2024-06-17,Product A,5880
2024-06-18,Product A,5333
2024-06-19,Product A,5903
2024-06-20,Product A,5355
2024-06-21,Product A,5623
2024-06-22,Product A,4052
2024-06-23,Product A,3571
2024-06-24,Product A,5142
2024-06-25,Product A,5760
2024-06-26,Product A,5748
2024-06-27,Product A,5220
2024-06-28,Product A,5568
2024-06-29,Product A,3812
2024-06-30,Product A,3860
2024-07-01,Product A,5187
2024-07-02,Product A,5482
2024-07-03,Product A,5608
2024-07-04,Product A,5158
2024-07-05,Product A,5216
2024-07-06,Product A,4303
2024-07-07,Product A,3706
2024-07-08,Product A,5666
2024-07-09,Product A,5267
2024-07-10,Product A,5656
2024-07-11,Product A,5690
2024-07-12,Product A,4589
2024-07-13,Product A,3873
2024-07-14,Product A,3864
2024-07-15,Product A,5299
2024-07-16,Product A,5595
2024-07-17,Product A,5258
2024-07-18,Product A,5244
2024-07-19,Product A,5111
2024-07-20,Product A,4199
2024-07-21,Product A,3741
2024-07-22,Product A,5353
2024-07-23,Product A,5290
2024-07-24,Product A,5201
2024-07-25,Product A,5022
2024-07-26,Product A,5163
2024-07-27,Product A,3817
2024-07-28,Product A,3683
2024-07-29,Product A,5710
2024-07-30,Product A,5539
2024-07-31,Product A,5152
2024-08-01,Product A,5346
2024-08-02,Product A,4873
2024-08-03,Product A,3440
2024-08-04,Product A,3387
2024-08-05,Product A,4607
2024-08-06,Product A,5122
2024-08-07,Product A,5150
2024-08-08,Product A,5370
2024-08-09,Product A,4967
2024-08-10,Product A,3722
2024-08-11,Product A,3648
2024-08-12,Product A,4440
2024-08-13,Product A,5182
2024-08-14,Product A,5249
2024-08-15,Product A,4507
2024-08-16,Product A,5075
2024-08-17,Product A,3759
2024-08-18,Product A,3370
2024-08-19,Product A,5059
2024-08-20,Product A,5603
2024-08-21,Product A,5011
2024-08-22,Product A,4841
2024-08-23,Product A,4608
2024-08-24,Product A,3478
2024-08-25,Product A,3522
2024-08-26,Product A,4613
2024-08-27,Product A,4963
2024-08-28,Product A,4765
2024-08-29,Product A,4813
2024-08-30,Product A,4715
2024-08-31,Product A,3757
2024-09-01,Product A,3241
2024-09-02,Product A,4677
2024-09-03,Product A,4627
2024-09-04,Product A,4695
2024-09-05,Product A,4713
2024-09-06,Product A,4737
2024-09-07,Product A,3353
2024-09-08,Product A,3416
2024-09-09,Product A,4984
2024-09-10,Product A,4889
2024-09-11,Product A,5173
2024-09-12,Product A,4380
2024-09-13,Product A,4217
2024-09-14,Product A,3156
2024-09-15,Product A,3468
2024-09-16,Product A,4752
2024-09-17,Product A,4710
2024-09-18,Product A,4730
2024-09-19,Product A,4242
2024-09-20,Product A,4979
2024-09-21,Product A,3441
2024-09-22,Product A,3203
2024-09-23,Product A,4708
2024-09-24,Product A,4777
2024-09-25,Product A,4660
2024-09-26,Product A,4266
2024-09-27,Product A,4489
2024-09-28,Product A,3699
2024-09-29,Product A,3362
2024-09-30,Product A,4852
2024-10-01,Product A,4498
2024-10-02,Product A,4335
2024-10-03,Product A,4370
2024-10-04,Product A,4355
2024-10-05,Product A,3532
2024-10-06,Product A,2858
2024-10-07,Product A,4796
2024-10-08,Product A,4541
2024-10-09,Product A,4428
2024-10-10,Product A,4142
2024-10-11,Product A,3954
2024-10-12,Product A,3462
2024-10-13,Product A,3112
2024-10-14,Product A,4141
2024-10-15,Product A,4255
2024-10-16,Product A,4423
2024-10-17,Product A,4702
2024-10-18,Product A,4233
2024-10-19,Product A,3060
2024-10-20,Product A,3049
2024-10-21,Product A,4348
2024-10-22,Product A,3921
2024-10-23,Product A,4471
2024-10-24,Product A,4277
2024-10-25,Product A,4427
2024-10-26,Product A,3607
2024-10-27,Product A,3255
2024-10-28,Product A,4343
2024-10-29,Product A,4277
2024-10-30,Product A,5056
2024-10-31,Product A,4337
2024-11-01,Product A,4280
2024-11-02,Product A,3299
2024-11-03,Product A,3114
2024-11-04,Product A,4374
2024-11-05,Product A,4403
2024-11-06,Product A,4365
2024-11-07,Product A,4327
2024-11-08,Product A,4171
2024-11-09,Product A,3194
2024-11-10,Product A,3110
2024-11-11,Product A,4365
2024-11-12,Product A,4894
2024-11-13,Product A,3909
2024-11-14,Product A,4591
2024-11-15,Product A,4578
2024-11-16,Product A,2984
2024-11-17,Product A,3057
2024-11-18,Product A,4366
2024-11-19,Product A,4258
2024-11-20,Product A,4360
2024-11-21,Product A,4141
2024-11-22,Product A,4722
2024-11-23,Product A,3513
2024-11-24,Product A,3335
2024-11-25,Product A,4648
2024-11-26,Product A,4359
2024-11-27,Product A,4458
2024-11-28,Product A,4534
2024-11-29,Product A,4115
2024-11-30,Product A,3510
2024-12-01,Product A,3130
2024-12-02,Product A,4449
2024-12-03,Product A,4837
2024-12-04,Product A,4732
2024-12-05,Product A,4396
2024-12-06,Product A,4692
2024-12-07,Product A,3244
2024-12-08,Product A,3306
2024-12-09,Product A,4727
2024-12-10,Product A,4658
2024-12-11,Product A,4766
2024-12-12,Product A,4253
2024-12-13,Product A,4703
2024-12-14,Product A,3445
2024-12-15,Product A,3167
2024-12-16,Product A,4901
2024-12-17,Product A,4631
2024-12-18,Product A,4424
2024-12-19,Product A,4246
2024-12-20,Product A,4702
2024-12-21,Product A,3305
2024-12-22,Product A,3593
2024-12-23,Product A,4238
2024-12-24,Product A,5290
2024-12-25,Product A,4887
2024-12-26,Product A,4657
2024-12-27,Product A,4513
2024-12-28,Product A,3662
2024-12-29,Product A,3353
2024-12-30,Product A,5076
2024-12-31,Product A,4988
2025-01-01,Product A,4945
2025-01-02,Product A,4663
2025-01-03,Product A,4695
2025-01-04,Product A,3701
2025-01-05,Product A,3118
2025-01-06,Product A,4555
2025-01-07,Product A,5224
2025-01-08,Product A,5039
2025-01-09,Product A,4791
2025-01-10,Product A,4799
2025-01-11,Product A,3775
2025-01-12,Product A,3379
2025-01-13,Product A,4781
2025-01-14,Product A,5180
2025-01-15,Product A,4840
2025-01-16,Product A,5026
2025-01-17,Product A,4468
2025-01-18,Product A,3975
2025-01-19,Product A,3621
2025-01-20,Product A,5132
2025-01-21,Product A,5483
2025-01-22,Product A,5616
2025-01-23,Product A,5273
2025-01-24,Product A,4518
2025-01-25,Product A,3605
2025-01-26,Product A,3492
2025-01-27,Product A,5170
2025-01-28,Product A,5462
2025-01-29,Product A,5090
2025-01-30,Product A,5160
2025-01-31,Product A,4877
2025-02-01,Product A,3803
2025-02-02,Product A,3413
2025-02-03,Product A,5016
2025-02-04,Product A,5056
2025-02-05,Product A,5117
2025-02-06,Product A,5481
2025-02-07,Product A,4917
2025-02-08,Product A,4521
2025-02-09,Product A,3830
2025-02-10,Product A,5403
2025-02-11,Product A,5284
2025-02-12,Product A,5667
2025-02-13,Product A,5147
2025-02-14,Product A,5285
2025-02-15,Product A,4586
2025-02-16,Product A,3785
2025-02-17,Product A,5760
2025-02-18,Product A,5418
2025-02-19,Product A,5560
2025-02-20,Product A,5867
2025-02-21,Product A,5174
2025-02-22,Product A,4508
2025-02-23,Product A,4004
2025-02-24,Product A,5381
2025-02-25,Product A,5888
2025-02-26,Product A,5935
2025-02-27,Product A,5646
2025-02-28,Product A,5001
2025-03-01,Product A,4046
2025-03-02,Product A,3878
2025-03-03,Product A,5601
2025-03-04,Product A,5974
2025-03-05,Product A,5796
2025-03-06,Product A,5186
2025-03-07,Product A,5611
2025-03-08,Product A,4389
2025-03-09,Product A,4095
2025-03-10,Product A,6009
2025-03-11,Product A,6120
2025-03-12,Product A,5957
2025-03-13,Product A,5612
2025-03-14,Product A,5116
2025-03-15,Product A,4408
2025-03-16,Product A,4076
2025-03-17,Product A,5852
2025-03-18,Product A,5568
2025-03-19,Product A,5576
2025-03-20,Product A,6000
2025-03-21,Product A,5634
2025-03-22,Product A,4514
2025-03-23,Product A,4086
2025-03-24,Product A,5846
2025-03-25,Product A,6295
2025-03-26,Product A,5804
2025-03-27,Product A,5787
2025-03-28,Product A,5571
2025-03-29,Product A,4313
2025-03-30,Product A,4056
2025-03-31,Product A,5958
2025-04-01,Product A,5923
2025-04-02,Product A,6388
2025-04-03,Product A,5549
2025-04-04,Product A,5697
2025-04-05,Product A,4347
2025-04-06,Product A,4453
2025-04-07,Product A,5997
2025-04-08,Product A,6429
2025-04-09,Product A,5605
2025-04-10,Product A,5928
2025-04-11,Product A,6047
2025-04-12,Product A,4492
2025-04-13,Product A,4401
2025-04-14,Product A,5819
2025-04-15,Product A,6582
2025-04-16,Product A,6787
2025-04-17,Product A,5773
2025-04-18,Product A,5688
2025-04-19,Product A,4821
2025-04-20,Product A,4528
2025-04-21,Product A,5841
2025-04-22,Product A,6042
2025-04-23,Product A,6023
2025-04-24,Product A,5502
2025-04-25,Product A,5567
2025-04-26,Product A,4280
2025-04-27,Product A,4045
2025-04-28,Product A,6001
2025-04-29,Product A,6256
2025-04-30,Product A,6593
2025-05-01,Product A,5612
2025-05-02,Product A,6129
2025-05-03,Product A,4462
2025-05-04,Product A,4199
2025-05-05,Product A,6216
2025-05-06,Product A,5837
2025-05-07,Product A,6234
2025-05-08,Product A,5953
2025-05-09,Product A,5981
2025-05-10,Product A,4570
2025-05-11,Product A,4720
2025-05-12,Product A,5812
2025-05-13,Product A,6008
2025-05-14,Product A,5914
2025-05-15,Product A,5726
2025-05-16,Product A,5636
2025-05-17,Product A,4759
2025-05-18,Product A,4488
2025-05-19,Product A,5812
2025-05-20,Product A,5893
2025-05-21,Product A,6223
2025-05-22,Product A,5703
2025-05-23,Product A,5979
2025-05-24,Product A,4516
2025-05-25,Product A,3853
2025-05-26,Product A,6411
2025-05-27,Product A,6664
2025-05-28,Product A,5859
2025-05-29,Product A,5716
2025-05-30,Product A,5841
2025-05-31,Product A,4516
2025-06-01,Product A,4277
2025-06-02,Product A,6503
2025-06-03,Product A,6017
2025-06-04,Product A,5759
2025-06-05,Product A,5385
2025-06-06,Product A,5504
2025-06-07,Product A,4397
2025-06-08,Product A,4474
2025-06-09,Product A,5705
2025-06-10,Product A,6083
2025-06-11,Product A,5939
2025-06-12,Product A,6070
2025-06-13,Product A,6372
2025-06-14,Product A,4245
2025-06-15,Product A,3964
2025-06-16,Product A,6099
2025-06-17,Product A,6155
2025-06-18,Product A,6422
2025-06-19,Product A,5831
2025-06-20,Product A,5493
2025-06-21,Product A,4438
2025-06-22,Product A,4239
2025-06-23,Product A,5962
2025-06-24,Product A,6029
2025-06-25,Product A,6117
2025-06-26,Product A,5922
2025-06-27,Product A,5904
2025-06-28,Product A,4393
2025-06-29,Product A,3931
2025-06-30,Product A,5693
2025-07-01,Product A,6151
2025-07-02,Product A,5494
2025-07-03,Product A,5620
2025-07-04,Product A,5338
2025-07-05,Product A,4201
2025-07-06,Product A,4157
2025-07-07,Product A,5623
2025-07-08,Product A,5729
2025-07-09,Product A,5259
2025-07-10,Product A,5638
2025-07-11,Product A,5536
2025-07-12,Product A,4578
2025-07-13,Product A,3787
2025-07-14,Product A,5543
2025-07-15,Product A,5696
2025-07-16,Product A,5992
2025-07-17,Product A,5323
2025-07-18,Product A,5350
2025-07-19,Product A,4187
2025-07-20,Product A,3819
2025-07-21,Product A,5272
2025-07-22,Product A,5587
2025-07-23,Product A,5754
2025-07-24,Product A,4989
2025-07-25,Product A,5222
2025-07-26,Product A,3855
2025-07-27,Product A,3942
2025-07-28,Product A,4897
2025-07-29,Product A,5286
2025-07-30,Product A,5468
2025-07-31,Product A,5572
2025-08-01,Product A,5081
2025-08-02,Product A,3816
2025-08-03,Product A,3998
2025-08-04,Product A,4830
2025-08-05,Product A,4755
2025-08-06,Product A,5388
2025-08-07,Product A,4949
2025-08-08,Product A,4752
2025-08-09,Product A,3992
2025-08-10,Product A,3633
2025-08-11,Product A,4971
2025-08-12,Product A,4912
2025-08-13,Product A,5405
2025-08-14,Product A,5149
2025-08-15,Product A,4894
2025-08-16,Product A,4137
2025-08-17,Product A,3337
2025-08-18,Product A,4641
2025-08-19,Product A,4977
2025-08-20,Product A,5076
2025-08-21,Product A,4958
2025-08-22,Product A,4774
2025-08-23,Product A,3787
2025-08-24,Product A,3248
2025-08-25,Product A,5294
2025-08-26,Product A,5045
2025-08-27,Product A,5279
2025-08-28,Product A,4898
2025-08-29,Product A,4859
2025-08-30,Product A,3763
2025-08-31,Product A,3483
2025-09-01,Product A,5011
2025-09-02,Product A,5313
2025-09-03,Product A,4966
2025-09-04,Product A,4904
2025-09-05,Product A,4652
2025-09-06,Product A,3859
2025-09-07,Product A,3239
2025-09-08,Product A,5209
2025-09-09,Product A,4894
2025-09-10,Product A,4495
2025-09-11,Product A,4694
2025-09-12,Product A,4446
2025-09-13,Product A,3695
2025-09-14,Product A,3195
2025-09-15,Product A,4604
2025-09-16,Product A,4377
2025-09-17,Product A,4665
2025-09-18,Product A,4042
2025-09-19,Product A,4180
2025-09-20,Product A,3631
2025-09-21,Product A,3387
2025-09-22,Product A,4746
2025-09-23,Product A,4541
2025-09-24,Product A,4702
2025-09-25,Product A,4541
2025-09-26,Product A,4225
2025-09-27,Product A,3716
2025-09-28,Product A,3362
2025-09-29,Product A,4544
2025-09-30,Product A,4725
2025-10-01,Product A,4711
2025-10-02,Product A,4036
2025-10-03,Product A,4384
2025-10-04,Product A,3306
2025-10-05,Product A,3030
2025-10-06,Product A,4488
2025-10-07,Product A,5097
2025-10-08,Product A,4770
2025-10-09,Product A,4329
2025-10-10,Product A,4529
